Code_com,Nom_com,Rang1,Rang2,Rang3,Rang4,Rang5
35001,Acigné,Rennes,Vitre,Fougeres,Chateaubriant,Dinan
56001,Allaire,Redon,Ploermel,St-Nazaire,Vannes,Auray
22001,Allineuc,St-Brieuc,Pontivy,Guingamp,Paimpol,Carhaix
35002,Amanlis,Rennes,Vitre,Chateaubriant,Fougeres,Laval
56002,Ambon,Vannes,Auray,Redon,St-Nazaire,Ploermel
22002,Andel,St-Brieuc,Dinan,St-Malo,Guingamp,Paimpol
35003,Andouillé-Neuville,Rennes,Fougeres,Vitre,Dinan,Avranches
35005,Arbrissel,Vitre,Chateaubriant,Rennes,Laval,Chateau-Gontier
35006,Argentré-du-Plessis,Vitre,Laval,Fougeres,Chateaubriant,Chateau-Gontier
29001,Argol,Douarnenez,Brest,Quimper,Pont-L'abbe,Morlaix
56003,Arradon,Vannes,Auray,Lorient,Ploermel,Pontivy
56004,Arzal,Redon,St-Nazaire,Vannes,Ploermel,Auray
29002,Arzano,Quimperle,Lorient,Concarneau,Auray,Carhaix
56005,Arzon,Auray,Vannes,Lorient,Ploermel,St-Nazaire
35007,Aubigné,Rennes,Fougeres,Dinan,Vitre,St-Malo
22003,Aucaleuc,Dinan,St-Malo,St-Brieuc,Rennes,Ploermel
29003,Audierne,Douarnenez,Pont-L'abbe,Quimper,Brest,Concarneau
56006,Augan,Ploermel,Redon,Vannes,Rennes,Pontivy
56007,Auray,Auray,Vannes,Lorient,Pontivy,Quimperle
35008,Availles-sur-Seiche,Vitre,Chateaubriant,Laval,Chateau-Gontier,Rennes
56008,Baden,Auray,Vannes,Lorient,Pontivy,Ploermel
35009,Baguer-Morvan,Dinan,St-Malo,Avranches,Rennes,Fougeres
35010,Baguer-Pican,St-Malo,Dinan,Avranches,Fougeres,St-Hilaire-Du-Harcouet
35012,Bain-de-Bretagne,Chateaubriant,Rennes,Redon,Vitre,Ploermel
35013,Bains-sur-Oust,Redon,Ploermel,Vannes,St-Nazaire,Chateaubriant
35014,Bais,Vitre,Rennes,Chateaubriant,Laval,Fougeres
35015,Balazé,Vitre,Fougeres,Laval,Rennes,St-Hilaire-Du-Harcouet
56009,Bangor,Auray,Lorient,Vannes,Quimperle,St-Nazaire
29004,Bannalec,Quimperle,Concarneau,Quimper,Lorient,Carhaix
56010,Baud,Auray,Pontivy,Lorient,Vannes,Quimperle
35016,Baulon,Rennes,Ploermel,Redon,Chateaubriant,Dinan
29005,Baye,Quimperle,Concarneau,Lorient,Quimper,Pont-L'abbe
35019,Bazouges-la-Pérouse,Fougeres,Avranches,Dinan,Rennes,St-Hilaire-Du-Harcouet
35021,Beaucé,Fougeres,St-Hilaire-Du-Harcouet,Vitre,Mayennes,Avranches
22209,Beaussais-sur-Mer,St-Malo,Dinan,St-Brieuc,Rennes,Avranches
35022,Bécherel,Dinan,Rennes,St-Malo,Ploermel,Fougeres
35023,Bédée,Rennes,Dinan,Ploermel,St-Malo,Vitre
56011,Béganne,Redon,St-Nazaire,Ploermel,Vannes,Auray
22004,Bégard,Guingamp,Lannion,Paimpol,Morlaix,St-Brieuc
56012,Beignon,Ploermel,Redon,Rennes,Pontivy,Dinan
22005,Belle-Isle-en-Terre,Guingamp,Lannion,Carhaix,Morlaix,Paimpol
56013,Belz,Auray,Lorient,Vannes,Quimperle,Pontivy
29006,Bénodet,Pont-L'abbe,Quimper,Concarneau,Douarnenez,Quimperle
22006,Berhet,Lannion,Guingamp,Paimpol,Morlaix,St-Brieuc
56014,Berné,Quimperle,Lorient,Carhaix,Pontivy,Concarneau
56015,Berric,Vannes,Redon,Auray,Ploermel,St-Nazaire
29007,Berrien,Morlaix,Carhaix,Lannion,Guingamp,Quimper
35024,Betton,Rennes,Vitre,Fougeres,Dinan,Chateaubriant
29008,Beuzec-Cap-Sizun,Douarnenez,Pont-L'abbe,Quimper,Brest,Concarneau
56017,Bignan,Pontivy,Vannes,Ploermel,Auray,Lorient
35025,Billé,Fougeres,Vitre,St-Hilaire-Du-Harcouet,Rennes,Laval
56018,Billiers,Vannes,St-Nazaire,Redon,Auray,Ploermel
56019,Billio,Ploermel,Vannes,Pontivy,Auray,Redon
22055,Binic-Étables-sur-Mer,St-Brieuc,Paimpol,Guingamp,Lannion,St-Malo
35026,Bléruais,Ploermel,Rennes,Dinan,Redon,Pontivy
22008,Bobital,Dinan,St-Malo,Rennes,St-Brieuc,Ploermel
29010,Bodilis,Morlaix,Brest,Carhaix,Douarnenez,Lannion
56020,Bohal,Ploermel,Vannes,Redon,Auray,Pontivy
29011,Bohars,Brest,Douarnenez,Morlaix,Quimper,Pont-L'abbe
35027,Boisgervilly,Rennes,Dinan,Ploermel,St-Malo,Redon
35028,Boistrudan,Vitre,Chateaubriant,Rennes,Fougeres,Laval
29012,Bolazec,Carhaix,Morlaix,Lannion,Guingamp,Paimpol
22107,Bon Repos sur Blavet,Pontivy,Carhaix,Guingamp,St-Brieuc,Quimperle
35029,Bonnemain,Dinan,St-Malo,Rennes,Avranches,Fougeres
22011,Boqueho,Auray,Vannes,Lorient,Pontivy,Ploermel
29013,Botmeur,Guingamp,St-Brieuc,Paimpol,Lannion,Pontivy
29014,Botsorhel,Morlaix,Carhaix,Brest,Douarnenez,Quimper
22013,Bourbriac,Morlaix,Carhaix,Lannion,Guingamp,Paimpol
29015,Bourg-Blanc,Guingamp,St-Brieuc,Lannion,Carhaix,Paimpol
35033,Bourg-des-Comptes,Brest,Douarnenez,Morlaix,Quimper,Carhaix
35032,Bourgbarré,Rennes,Chateaubriant,Redon,Vitre,Ploermel
22014,Bourseul,Rennes,Vitre,Chateaubriant,Redon,Fougeres
35035,Bovel,Dinan,St-Malo,St-Brieuc,Rennes,Ploermel
56021,Brandérion,Rennes,Ploermel,Redon,Chateaubriant,Dinan
56022,Brandivy,Lorient,Auray,Quimperle,Vannes,Pontivy
29016,Brasparts,Auray,Vannes,Pontivy,Lorient,Ploermel
35037,Bréal-sous-Montfort,Carhaix,Morlaix,Douarnenez,Quimper,Brest
35038,Bréal-sous-Vitré,Rennes,Ploermel,Redon,Dinan,Vitre
35039,Brécé,Vitre,Laval,Fougeres,Chateau-Gontier,Mayennes
56023,Brech,Rennes,Vitre,Fougeres,Chateaubriant,Laval
56024,Bréhan,Auray,Vannes,Lorient,Pontivy,Quimperle
22015,Bréhand,Pontivy,Ploermel,Vannes,St-Brieuc,Auray
29017,Brélès,St-Brieuc,Dinan,Pontivy,Guingamp,St-Malo
22018,Brélidy,Brest,Douarnenez,Morlaix,Quimper,Pont-L'abbe
29018,Brennilis,Guingamp,Lannion,Paimpol,St-Brieuc,Morlaix
29019,Brest,Carhaix,Morlaix,Quimper,Douarnenez,Brest
35040,Breteil,Brest,Douarnenez,Morlaix,Quimper,Pont-L'abbe
35041,Brie,Rennes,Dinan,Ploermel,Vitre,Redon
29020,Briec,Rennes,Chateaubriant,Vitre,Redon,Fougeres
35042,Brielles,Quimper,Douarnenez,Concarneau,Pont-L'abbe,Carhaix
56025,Brignac,Vitre,Laval,Chateau-Gontier,Chateaubriant,Fougeres
22019,Bringolo,Ploermel,Pontivy,Dinan,St-Brieuc,Rennes
22020,Broons,Guingamp,St-Brieuc,Paimpol,Lannion,Carhaix
35044,Broualan,Dinan,St-Malo,St-Brieuc,Ploermel,Rennes
35045,Bruc-sur-Aff,Dinan,St-Malo,Avranches,Fougeres,Rennes
22021,Brusvily,Redon,Ploermel,Rennes,Chateaubriant,Vannes
35047,Bruz,Dinan,St-Malo,Rennes,St-Brieuc,Ploermel
56026,Bubry,Rennes,Vitre,Chateaubriant,Redon,Ploermel
22023,Bulat-Pestivien,Pontivy,Lorient,Quimperle,Auray,Carhaix
56027,Buléon,Guingamp,Carhaix,Lannion,Morlaix,Paimpol
56028,Caden,Ploermel,Pontivy,Vannes,Auray,Redon
56029,Calan,Redon,Ploermel,Vannes,St-Nazaire,Auray
22024,Calanhel,Lorient,Quimperle,Auray,Pontivy,Concarneau
22025,Callac,Carhaix,Guingamp,Morlaix,Lannion,Paimpol
22026,Calorguen,Carhaix,Guingamp,Lannion,Morlaix,Paimpol
29022,Camaret-sur-Mer,Dinan,St-Malo,Rennes,St-Brieuc,Ploermel
22028,Camlez,Brest,Douarnenez,Quimper,Pont-L'abbe,Morlaix
56030,Camoël,Lannion,Paimpol,Guingamp,Morlaix,St-Brieuc
56031,Camors,St-Nazaire,Redon,Vannes,Auray,Ploermel
56032,Campénéac,Auray,Vannes,Pontivy,Lorient,Quimperle
35049,Cancale,Ploermel,Redon,Rennes,Pontivy,Vannes
22029,Canihuel,St-Malo,Dinan,Avranches,St-Hilaire-Du-Harcouet,Fougeres
22030,Caouënnec-Lanvézéac,Guingamp,St-Brieuc,Pontivy,Carhaix,Paimpol
29023,Carantec,Lannion,Guingamp,Paimpol,Morlaix,Carhaix
35050,Cardroc,Morlaix,Lannion,Carhaix,Brest,Guingamp
56033,Carentoir,Dinan,Rennes,St-Malo,Fougeres,Vitre
29024,Carhaix-Plouguer,Redon,Ploermel,Rennes,Vannes,Chateaubriant
56034,Carnac,Carhaix,Morlaix,Quimperle,Guingamp,Quimper
22031,Carnoët,Auray,Vannes,Lorient,Quimperle,Pontivy
56035,Caro,Carhaix,Morlaix,Guingamp,Lannion,Quimperle
29025,Cast,Ploermel,Redon,Vannes,Pontivy,Auray
56036,Caudan,Douarnenez,Quimper,Pont-L'abbe,Concarneau,Brest
22032,Caulnes,Lorient,Quimperle,Auray,Concarneau,Pontivy
22033,Caurel,Dinan,St-Malo,Rennes,Ploermel,St-Brieuc
22034,Cavan,Pontivy,St-Brieuc,Guingamp,Carhaix,Quimperle
35051,Cesson-Sévigné,Lannion,Guingamp,Paimpol,Morlaix,Carhaix
35052,Champeaux,Rennes,Vitre,Fougeres,Chateaubriant,Dinan
35054,Chanteloup,Vitre,Fougeres,Rennes,Laval,Chateaubriant
35055,Chantepie,Rennes,Chateaubriant,Vitre,Redon,Fougeres
35066,Chartres-de-Bretagne,Rennes,Vitre,Chateaubriant,Fougeres,Dinan
35067,Chasné-sur-Illet,Rennes,Vitre,Chateaubriant,Dinan,Fougeres
35068,Châteaubourg,Rennes,Vitre,Fougeres,Dinan,St-Hilaire-Du-Harcouet
35069,Châteaugiron,Vitre,Rennes,Fougeres,Chateaubriant,Laval
29026,Châteaulin,Rennes,Vitre,Chateaubriant,Fougeres,Laval
35070,Châteauneuf-d'Ille-et-Vilaine,Douarnenez,Quimper,Brest,Carhaix,Pont-L'abbe
29027,Châteauneuf-du-Faou,St-Malo,Dinan,Avranches,Rennes,Fougeres
22206,Châtelaudren-Plouagat,Carhaix,Quimper,Concarneau,Douarnenez,Quimperle
35072,Châtillon-en-Vendelais,Guingamp,St-Brieuc,Paimpol,Lannion,Carhaix
